version,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,DirectPartition_Uniform,DirectPartition_Uniform,DirectPartition_Uniform,DirectPartition_Uniform,DirectPartition_Uniform,DirectPartition_Uniform,DirectPartition_Uniform,DirectPartition_Uniform,DirectPartition_Uniform,DirectPartition_Uniform
n_size,256,1600,3136,4624,5776,7396,8836,10000,11664,12996,256,1600,3136,4624,5776,7396,8836,10000,11664,12996,256,1600,3136,4624,5776,7396,8836,10000,11664,12996
run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.011253000000000013,,,,,,,,,,0.011556999999999817,,,,,,,,,,0.04533400000000043,,,,,,,,,
1,0.012715000000000032,,,,,,,,,,0.0019759999999990896,,,,,,,,,,0.004322000000001935,,,,,,,,,
2,0.011602000000000001,,,,,,,,,,0.009376999999998858,,,,,,,,,,0.04029699999999892,,,,,,,,,
3,0.0012260000000000049,,,,,,,,,,0.00367799999999896,,,,,,,,,,0.03910199999999975,,,,,,,,,
4,0.0013959999999999528,,,,,,,,,,0.003481999999999985,,,,,,,,,,0.02005800000000235,,,,,,,,,
5,0.022710000000000008,,,,,,,,,,0.0056939999999983115,,,,,,,,,,0.006655999999999551,,,,,,,,,
6,0.004264999999999963,,,,,,,,,,0.01078899999999905,,,,,,,,,,0.013194999999999624,,,,,,,,,
7,0.023163000000000045,,,,,,,,,,0.005331999999999226,,,,,,,,,,0.04561599999999899,,,,,,,,,
8,0.010630999999999946,,,,,,,,,,0.005456999999999823,,,,,,,,,,0.037082000000001614,,,,,,,,,
9,0.004045999999999994,,,,,,,,,,0.001782999999999646,,,,,,,,,,0.002626000000002904,,,,,,,,,
10,0.004595000000000016,,,,,,,,,,0.001772000000000773,,,,,,,,,,0.016269999999998674,,,,,,,,,
11,0.011140999999999956,,,,,,,,,,0.03337400000000024,,,,,,,,,,0.010939000000000476,,,,,,,,,
12,0.004318000000000044,,,,,,,,,,0.0035080000000000666,,,,,,,,,,0.013341000000000491,,,,,,,,,
13,0.010700000000000043,,,,,,,,,,0.003665999999999059,,,,,,,,,,0.029253999999998115,,,,,,,,,
14,0.0038849999999999163,,,,,,,,,,0.014044999999999419,,,,,,,,,,0.016918000000000433,,,,,,,,,
15,0.009105999999999947,,,,,,,,,,0.012589000000000183,,,,,,,,,,0.0026200000000002888,,,,,,,,,
16,0.003878000000000048,,,,,,,,,,0.003562000000000509,,,,,,,,,,0.0036759999999986803,,,,,,,,,
17,0.0027960000000000207,,,,,,,,,,0.014005000000000933,,,,,,,,,,0.005663999999999447,,,,,,,,,
18,0.0012409999999999366,,,,,,,,,,0.005444999999999922,,,,,,,,,,0.02200200000000052,,,,,,,,,
19,0.0035009999999999764,,,,,,,,,,0.0034080000000002997,,,,,,,,,,0.006338999999996986,,,,,,,,,
20,0.01400900000000005,,,,,,,,,,0.0017359999999992937,,,,,,,,,,0.004436999999999358,,,,,,,,,
21,0.013268999999999975,,,,,,,,,,0.0036880000000003577,,,,,,,,,,0.006243000000001331,,,,,,,,,
22,0.001519000000000048,,,,,,,,,,0.0018499999999992411,,,,,,,,,,0.004917000000002503,,,,,,,,,
23,0.049839999999999995,,,,,,,,,,0.003681999999999519,,,,,,,,,,0.01699299999999937,,,,,,,,,
24,0.018511999999999973,,,,,,,,,,0.0018700000000002603,,,,,,,,,,0.0016120000000015011,,,,,,,,,
25,0.003819000000000017,,,,,,,,,,0.003527000000000058,,,,,,,,,,0.02122500000000116,,,,,,,,,
26,0.005781999999999954,,,,,,,,,,0.008869999999999933,,,,,,,,,,0.011255000000002013,,,,,,,,,
27,0.0015560000000000018,,,,,,,,,,0.001900000000000901,,,,,,,,,,0.018129999999999313,,,,,,,,,
28,0.0014079999999999648,,,,,,,,,,0.006997000000000142,,,,,,,,,,0.003951000000000704,,,,,,,,,
29,0.0017939999999999623,,,,,,,,,,0.03097100000000097,,,,,,,,,,0.029518000000003042,,,,,,,,,
30,0.004121999999999959,,,,,,,,,,0.028713999999999018,,,,,,,,,,0.010580999999998397,,,,,,,,,
31,0.01419400000000004,,,,,,,,,,0.005433000000000021,,,,,,,,,,0.018843000000000387,,,,,,,,,
32,0.00969500000000001,,,,,,,,,,0.010968000000000089,,,,,,,,,,0.017590999999999468,,,,,,,,,
33,0.006171999999999955,,,,,,,,,,0.005459000000000103,,,,,,,,,,0.0444570000000013,,,,,,,,,
34,0.016021000000000063,,,,,,,,,,0.016116999999999493,,,,,,,,,,0.042626999999999526,,,,,,,,,
35,0.004399000000000042,,,,,,,,,,0.021413000000000793,,,,,,,,,,0.016365000000000407,,,,,,,,,
36,0.002894999999999981,,,,,,,,,,0.010712999999999084,,,,,,,,,,0.014556999999999931,,,,,,,,,
37,0.0047559999999999825,,,,,,,,,,0.0141050000000007,,,,,,,,,,0.014019000000001114,,,,,,,,,
38,0.007631000000000054,,,,,,,,,,0.009221000000000146,,,,,,,,,,0.022110000000001406,,,,,,,,,
39,0.007756999999999903,,,,,,,,,,0.012596999999999525,,,,,,,,,,0.004490000000000549,,,,,,,,,
40,0.005669999999999953,,,,,,,,,,0.00725399999999965,,,,,,,,,,0.002905999999999409,,,,,,,,,
41,0.02812900000000007,,,,,,,,,,0.01651799999999959,,,,,,,,,,0.008210000000001827,,,,,,,,,
42,0.008896999999999933,,,,,,,,,,0.007232000000000127,,,,,,,,,,0.007851999999999748,,,,,,,,,
43,0.011206999999999967,,,,,,,,,,0.019494999999999152,,,,,,,,,,0.006036999999999182,,,,,,,,,
44,0.009099999999999997,,,,,,,,,,0.04641499999999965,,,,,,,,,,0.003648000000001872,,,,,,,,,
45,0.013429000000000024,,,,,,,,,,0.010862999999998735,,,,,,,,,,0.03827700000000078,,,,,,,,,
46,0.02297400000000005,,,,,,,,,,0.0018729999999997915,,,,,,,,,,0.021542000000000172,,,,,,,,,
47,0.0018490000000001006,,,,,,,,,,0.0019179999999998643,,,,,,,,,,0.00910299999999964,,,,,,,,,
48,0.0013680000000000359,,,,,,,,,,0.005334999999998757,,,,,,,,,,0.0006370000000011089,,,,,,,,,
49,0.0026639999999999997,,,,,,,,,,0.0036639999999987793,,,,,,,,,,0.008353000000003163,,,,,,,,,
50,0.012997000000000036,,,,,,,,,,0.005613999999999564,,,,,,,,,,0.0030219999999978597,,,,,,,,,
51,0.0033839999999999426,,,,,,,,,,0.012451000000000434,,,,,,,,,,0.007137000000000171,,,,,,,,,
52,0.005978000000000039,,,,,,,,,,0.010324000000000666,,,,,,,,,,0.008418999999999954,,,,,,,,,
53,0.004935000000000023,,,,,,,,,,0.0018810000000009097,,,,,,,,,,0.004895000000001204,,,,,,,,,
54,0.0038560000000000816,,,,,,,,,,0.007123999999999242,,,,,,,,,,0.0026960000000002537,,,,,,,,,
55,0.0024489999999999235,,,,,,,,,,0.012176000000000187,,,,,,,,,,0.005727999999997735,,,,,,,,,
56,0.002418999999999949,,,,,,,,,,0.012086000000000041,,,,,,,,,,0.030818000000000012,,,,,,,,,
