version,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single
n_size,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000
run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0010990000000000166,0.008137999999999979,0.02873399999999915,0.01746799999999915,0.03300300000000078,0.03157799999999966,0.03756699999999569,0.06686600000000453,0.04817099999999641,0.0816949999999963,1.8923100000000659,0.0017570000000000086,0.009338999999999986,0.01840400000000031,0.02744600000000119,0.03581599999999696,0.04519899999999666,0.05030699999999655,0.05891299999998978,0.0662669999999963,0.08114100000000235,2.458892999999989,0.001898999999999984,0.007956000000000074,0.026082000000000605,0.01934800000000081,0.025499999999997414,0.06697799999999887,0.06611999999999796,0.07951199999999403,0.035446000000007416,0.07309300000000007,2.0110570000001644
9,0.0012570000000000081,0.007132999999999834,0.012464999999999726,0.03389499999999934,0.029665000000001385,0.03310400000000158,0.03639899999999585,0.05490800000000462,0.08708500000000186,0.06923799999999858,1.7119160000000875,0.0017740000000000533,0.009323999999999888,0.019372999999999863,0.026707999999999288,0.040601999999999805,0.045772999999996955,0.04996200000000073,0.0611950000000121,0.06807099999998911,0.07755199999999718,2.5622489999999516,0.0015450000000000186,0.016138999999999903,0.022054999999999936,0.037661999999999196,0.017352999999999952,0.012945000000001983,0.05295600000000178,0.06685699999999883,0.04977200000000437,0.066828000000001,4.297098000000005
10,0.0011599999999999944,0.007325000000000026,0.012137000000000064,0.02055099999999932,0.023903000000000674,0.03207400000000149,0.04924700000000115,0.0718829999999997,0.08712900000000445,0.04771300000000167,1.9087429999999586,0.0017490000000000006,0.00917200000000018,0.018386000000000458,0.026678000000000424,0.03646900000000031,0.04525300000000243,0.052523000000000764,0.06116100000001268,0.06835300000000188,0.07962799999999959,2.5758789999999863,0.0019400000000000528,0.009494000000000113,0.01249999999999929,0.0239729999999998,0.048241000000000867,0.06977900000000403,0.059244999999997106,0.05088999999999544,0.08697899999999947,0.10009999999999764,5.087473000000045
11,0.0012730000000000241,0.0072309999999999874,0.030989999999999185,0.020502000000000464,0.03276599999999874,0.029171999999999088,0.049572000000004834,0.05334299999999814,0.05214199999998925,0.06400200000000211,1.6820079999999962,0.0017680000000001028,0.00919800000000004,0.018431999999999782,0.02693800000000124,0.036795000000001465,0.045224000000004594,0.053170000000001494,0.0600509999999872,0.06834700000000282,0.07892499999999814,2.542363000000023,0.0028799999999999937,0.012678999999999885,0.02352199999999982,0.025652000000000896,0.030885000000001384,0.046112999999998294,0.03576999999999941,0.07589500000000271,0.08406400000001213,0.04208099999999604,1.5236590000001797
12,0.0013679999999999803,0.007204999999999906,0.021376999999999313,0.017353999999999203,0.023953000000002334,0.051009999999998,0.034624000000000876,0.05277399999999943,0.06538799999999867,0.061916999999994005,1.7199219999999968,0.0018200000000000438,0.009917999999999871,0.018133999999999872,0.026431000000000537,0.03528500000000179,0.04536099999999976,0.051968000000002235,0.06147300000000655,0.06820700000000102,0.07805799999999863,2.593661999999995,0.0020060000000000633,0.016197000000000017,0.01310799999999901,0.024911000000001238,0.008247000000000781,0.05266100000000051,0.03130000000000166,0.09423700000000679,0.0825060000000093,0.13971200000000294,1.8277069999999185
13,0.0012030000000000096,0.013519999999999976,0.014877000000000251,0.020963999999999317,0.021726000000001022,0.03467899999999702,0.04272600000000182,0.046953999999999496,0.05477500000000646,0.0986040000000088,2.1832460000000538,0.0018279999999999408,0.00966699999999987,0.01807399999999948,0.026042000000000343,0.035080000000000666,0.04566499999999962,0.05022999999999911,0.05937600000000032,0.0661360000000002,0.0796449999999993,2.5673490000000356,0.0005820000000000825,0.008643999999999874,0.025475999999999388,0.018398999999998722,0.058723999999998,0.02926300000000026,0.04558500000000265,0.08211699999999666,0.05413599999999974,0.0702139999999929,2.367864999999938
14,0.0018119999999999803,0.005975999999999981,0.017732999999999777,0.029281000000001,0.029037000000002422,0.06456799999999774,0.04509300000000138,0.04223999999999961,0.09789500000000828,0.07848500000000058,2.1662289999999302,0.0018130000000000646,0.009255999999999709,0.017574999999999896,0.026190999999998965,0.03739599999999754,0.04727400000000159,0.049596000000001084,0.06036699999999939,0.06894099999999526,0.08040900000000306,2.448016999999936,0.0013270000000000781,0.005323999999999884,0.015826999999999813,0.01707800000000148,0.042729999999998824,0.054158999999998514,0.033254999999996926,0.050457000000008634,0.08728299999999933,0.050396000000006325,7.848983999999973
15,0.0010629999999999806,0.011503000000000041,0.01641300000000001,0.025944000000000855,0.02524700000000024,0.03481299999999976,0.062085000000003276,0.05226599999999593,0.07062399999999514,0.058582000000001244,1.6452500000000327,0.0017770000000000286,0.009202000000000155,0.018659000000000425,0.026419999999999888,0.036730999999999625,0.04721999999999582,0.052156000000003644,0.06010099999998886,0.07966500000000565,0.07800499999999033,2.574811000000068,0.0016920000000000268,0.01245499999999966,0.022102000000000288,0.04415600000000097,0.028400000000001313,0.018667000000000655,0.04405500000000018,0.06078599999999312,0.1239840000000072,0.12682099999999252,2.657269000000042
16,0.0016599999999999948,0.01427299999999998,0.01376799999999978,0.02197199999999988,0.02367500000000078,0.04157499999999814,0.05993000000000137,0.04866899999999674,0.05892000000000053,0.054480000000012296,3.879986000000031,0.0017929999999999335,0.00912500000000005,0.01856400000000047,0.02693000000000012,0.03681999999999874,0.0451359999999994,0.05481100000000083,0.05757800000000657,0.0688339999999954,0.07951300000000572,2.5569470000000365,0.0014620000000000744,0.011893000000000153,0.01562900000000056,0.026806999999998027,0.03792400000000029,0.03196700000000163,0.04603000000000179,0.059941000000009126,0.061157000000008566,0.10729599999999095,1.558029999999917
17,0.001790999999999987,0.007201999999999931,0.02385500000000018,0.03141499999999908,0.029965000000000686,0.030221999999998417,0.05654900000000396,0.041817999999999245,0.06118399999999724,0.0680720000000008,1.9068150000000514,0.0017690000000000206,0.009215999999999891,0.017882000000000176,0.02690899999999985,0.035272000000002635,0.046900999999998305,0.05411800000000255,0.05863499999999533,0.06865800000001343,0.07797800000000166,2.451381999999967,0.002942,0.007144000000000261,0.012709999999998445,0.02865500000000054,0.027087999999999113,0.06598899999999475,0.0626529999999974,0.02600599999999531,0.1365990000000039,0.09981400000000917,1.2115949999999884
