version,k_exponent,k_r2,k_intercept,best_model,best_model_r2,best_model_slope,best_model_intercept,R2[O(1)],R2[O(log n)],R2[O(sqrt n)],R2[O(n)],R2[O(n log n)],R2[O(n^1.5)],R2[O(n^2)],R2[O(n^2 log n)],R2[O(n^2.5)],R2[O(n^3)]
GerryChain_Uniform,1.438853152056821,0.9996149672773287,-12.776081970508365,O(n^1.5),0.9965362106766554,1.599805460646851e-06,0.015138700079908696,,0.6506266647887311,0.8720836065788561,0.9740413528754616,0.9835550601315302,0.9965362106766554,0.9839945738548058,0.9789171061879941,0.9568734434416617,0.9240965018441907
GerryChain_MST,1.4149330248977532,0.9994937770564587,-12.234300798676207,O(n^1.5),0.9937702638124832,2.127776755006885e-06,0.06757436457542254,,0.6776286606932123,0.8949695782329822,0.9849806768974958,0.9916498596044335,0.9937702638124832,0.9685243078338936,0.9609536290654624,0.9304060279703099,0.8883894909129685
DirectPartition_Uniform,1.3719054546573861,0.999525840900984,-11.764622376452163,O(n^1.5),0.9987064630463489,2.3548873767711075e-06,0.054232586793734106,,0.66573137688592,0.8855572898680479,0.9822960490372771,0.9905540338278656,0.9987064630463489,0.9803197027101378,0.9740624005938628,0.9478366062643893,0.9102057859060657
