version,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample,DirectPartition_Walk_Sample
n_size,256,1024,1764,2500,3136,3844,4624,256,1024,1764,2500,3136,3844,4624,256,1024,1764,2500,3136,3844,4624
run,,,,,,,,,,,,,,,,,,,,,
0,0.03188000000000002,0.06330399999999514,0.2815580000000182,0.08578799999997955,0.43683099999998376,0.5140000000001237,,0.03179699999999919,0.015087999999991553,0.11669799999998531,0.6863580000000411,0.8051150000001144,0.7121860000002016,,0.014644000000000545,0.02341799999999239,0.32351299999993444,0.15392100000008213,0.31714599999986604,0.5464860000001863,
1,0.013379999999999947,0.04523399999999356,0.23461800000001176,0.14388399999995727,0.23823799999991024,1.044061000000056,,0.016489999999999227,0.1691019999999952,0.16730899999998883,0.3925570000000107,0.30854299999964496,0.7436269999998331,,0.005418999999999841,0.036315000000001874,0.24283900000000358,0.153248000000076,0.6176890000001549,0.40629800000033356,
2,0.0016220000000000123,0.020522999999997182,0.04874000000000933,0.15046700000004876,0.04288700000006429,0.04637899999988804,,0.00739499999999893,0.1383730000000014,0.44699399999996103,0.2501150000000507,0.16784399999960442,1.3013690000002498,,0.028526000000002938,0.06774899999999207,0.4834919999999556,0.1401499999999487,0.29873700000007375,0.5958150000001297,
3,0.007350999999999996,0.035229000000001065,0.16000799999994797,0.2531709999999521,0.3110670000000937,0.05290899999999965,,0.03172700000000006,0.438847999999993,0.12988899999999148,0.08647400000006655,0.43242700000018885,0.5833500000003369,,0.024857000000000795,0.03535999999999717,0.22017400000004272,0.733944000000065,0.15975099999968734,0.22771999999986292,
4,0.013665999999999956,0.18909599999999926,0.08604300000001786,0.2966719999999441,0.19113800000013725,0.3429759999999078,,0.0017329999999997625,0.03543899999999667,0.08978000000001884,0.2074039999999968,0.7655960000001869,3.090599000000111,,0.008013000000001824,0.20836700000000974,0.3790120000001025,0.08581599999979517,0.26181399999995847,0.15121199999975943,
5,0.0012679999999999358,0.21946600000000416,0.08177999999998065,0.7597809999999754,0.6799710000000232,0.28660400000035224,,0.027036999999999978,0.021563999999997918,0.0922429999999963,0.051513999999997395,0.5151710000000094,0.25261300000011033,,0.040522000000002834,0.008990000000011378,0.09886300000005122,0.7552839999998469,0.6199540000002344,0.027537999999822205,
6,0.015746000000000038,0.08559100000000086,0.16166599999996834,0.10916599999995924,0.4385869999998704,0.09196199999996679,,0.0017560000000003129,0.03592199999999934,0.0771349999999984,0.408553999999981,0.7766649999998663,1.2638780000002043,,0.03973399999999927,0.0716329999999914,0.049958999999944353,0.26317199999994045,0.400564999999915,0.11838299999999435,
7,0.014093000000000022,0.05237800000000448,0.08704800000003843,0.19384400000001278,0.14582500000005894,0.03705899999977191,,0.011963999999998975,0.021681999999998425,0.21807799999999133,0.0344319999999243,0.04355600000008053,1.07591900000034,,0.013346999999999554,0.1179220000000214,0.147946999999931,0.041921000000002095,0.4655809999999292,0.1930160000001706,
8,0.010543999999999998,0.01973300000000222,0.017257000000029166,0.036348999999972875,0.4058979999999792,0.03967000000011467,,0.0036020000000007713,0.03587699999999927,0.03928200000001425,0.8308070000000498,0.15026600000010149,0.0874189999999544,,0.008773000000001474,0.0776819999999816,0.058376999999950385,0.10042500000008658,0.22771499999998923,0.6435929999997825,
9,0.02389999999999992,0.20661100000000232,0.021403999999961343,0.2629709999999932,0.050979999999981374,0.21624300000030416,,0.005368999999999957,0.11036399999998991,0.7229810000000043,0.4689540000000534,0.515552000000298,0.3854710000000523,,0.0022809999999999775,0.006520000000023174,0.21770100000003367,0.15834799999993265,0.021024000000124943,1.0128159999999298,
10,0.0011309999999999931,0.07245000000000346,0.04323099999999158,0.21461199999998826,0.13175200000000586,0.28926300000011906,,0.020376999999999867,0.06493000000000393,0.05108500000000049,0.5417159999999512,0.02245600000014747,0.22088399999984176,,0.0067450000000022214,0.04359999999999786,0.12108299999999872,0.23034400000005917,0.7155280000001767,0.1667370000000119,
11,0.0015730000000000466,0.07040200000000141,0.11871700000000374,0.2586639999999534,0.1404539999998633,0.4002059999997982,,0.003441999999999723,0.014680999999995947,0.19341100000002598,0.3893150000000105,0.4290229999996882,0.059760000000096625,,0.0034729999999996153,0.019104999999996153,0.19057999999995445,0.6593809999999394,0.11031999999977415,0.19280299999991257,
12,0.005156000000000049,0.018219000000001984,0.2004519999999843,0.19502400000010311,0.18955300000015995,0.7219930000001114,,0.023450000000000415,0.12161199999999894,0.6586369999999988,0.01756199999999808,0.19252599999981612,0.1677549999999428,,0.0074830000000005725,0.029073000000011007,0.03837399999997615,0.5786019999998189,0.09675599999991391,3.0255590000001575,
13,0.0011900000000000244,0.02688799999999958,0.06063399999999319,0.15282799999999952,0.867663999999877,0.09786800000028961,,0.030218999999998886,0.6217650000000106,0.01307299999996303,0.37982099999999264,0.1952120000000832,0.6808209999999235,,0.0291300000000021,0.09706200000002241,0.15467599999999493,0.35662600000000566,0.8303329999998823,0.3370609999997214,
14,0.015351000000000004,0.0054680000000004725,0.09359599999999091,0.2052689999999302,0.18436500000007072,0.12651800000003277,,0.00835299999999961,0.08934600000000614,0.26978000000002567,0.4360910000000331,0.3017540000000736,0.7799369999997907,,0.005085999999998592,0.03870700000001648,0.10854999999992287,0.22722499999986212,0.3977859999999964,1.1381369999999151,
15,0.004090999999999956,0.08035100000000028,0.009601000000031945,0.10984700000005887,0.3723089999998592,1.5049049999997806,,0.01841600000000021,0.07570199999999261,0.07746700000001283,0.7370990000000575,0.14947299999994357,0.11256000000003041,,0.0059280000000008215,0.026332999999993945,0.2831059999999752,0.26096400000005815,0.31750400000009904,0.03114000000005035,
16,0.005105000000000026,0.05675899999999956,0.06752499999998918,0.346367999999984,0.020297000000027765,0.7390769999997246,,0.005074000000000467,0.014020999999999617,0.026426000000014938,0.3345450000000483,0.2670589999997901,0.08311099999991711,,0.013759000000000299,0.02156999999999698,0.4905549999999721,0.12359399999991183,0.08849999999983993,1.5255280000001221,
17,0.005478000000000094,0.12363099999999605,0.3196049999999673,0.21816999999998643,1.0666449999998804,1.7339409999999589,,0.013358999999999455,0.3578870000000052,0.21836499999994885,0.019450000000006185,0.0646679999999833,0.2386690000003,,0.004539000000001181,0.013258000000007542,0.0812869999999748,0.30095600000004197,0.20525700000007419,0.5141040000003159,
18,0.001226999999999978,0.19802899999999823,0.3375979999999572,0.06453399999998055,0.02881699999988996,0.5150649999995949,,0.0017659999999999343,0.125039000000001,0.013027000000022326,0.07229400000005626,0.21946799999977884,0.41679400000020905,,0.008032000000000039,0.11955399999999372,0.260599999999954,0.10725999999999658,0.288756999999805,0.669365000000198,
19,0.0011539999999999884,0.07782399999999967,0.029785000000003947,0.5783030000000053,0.4037190000001374,0.10376700000006167,,0.0484650000000002,0.1529040000000066,0.22105199999998604,0.18505499999992026,0.7708749999997053,0.19548600000007355,,0.002138999999999669,0.15968099999997776,0.045337000000017724,0.10484099999985119,0.31499399999984234,1.0721049999997376,
20,0.03196500000000002,0.14277000000000584,0.7251370000000179,0.01687800000001971,0.21867200000019693,0.11987999999973908,,0.005067999999999628,0.03554100000000915,0.2373569999999745,0.25796300000001793,0.1210479999999734,0.19433000000026368,,0.01822999999999908,0.034787999999991825,0.08583599999997205,0.2698159999999916,0.35336400000005597,0.9265219999997498,
21,0.002990999999999966,0.06412999999999869,0.042883000000017546,0.2203630000000203,0.10820100000000821,0.7099010000001726,,0.0017359999999992937,0.06325499999999806,0.2306880000000433,0.09496599999999944,0.47038300000031086,1.3652560000000449,,0.017274000000000456,0.02602400000000671,0.1238660000000209,0.21717100000000755,0.4657820000002175,0.12165299999969648,
22,0.003002999999999978,0.005794000000001631,0.46459499999997433,0.07943299999999454,0.3609189999999671,0.8282450000001518,,0.021774000000000626,0.007137000000000171,0.07873499999999467,0.75779,0.4092549999995754,0.7292199999997138,,0.012592000000001491,0.04854300000002354,0.0666599999999562,1.4811530000001767,1.03230799999983,0.20318100000031336,
23,0.007823000000000024,0.07862300000000033,0.11048399999998537,0.01839699999993627,0.19397400000002563,0.2404500000002372,,0.04518100000000125,0.12438600000000122,0.05161600000002409,0.05343399999992471,0.527274000000034,1.5661379999996825,,0.022353999999999985,0.43456199999999967,0.48232100000006994,0.602235999999948,0.5142049999999472,0.4721349999999802,
24,0.01845399999999997,0.027982000000001506,0.12825000000003683,0.19416899999998805,0.300867000000153,0.11768900000015492,,0.011699999999999378,0.01398999999999262,0.03839299999998502,0.38992399999995087,0.9268569999999272,0.3531189999998787,,0.03319399999999817,0.13750699999999938,0.1266129999999066,0.30835000000001855,0.3542170000000624,0.6239920000002712,
25,0.007149000000000072,0.05732400000000126,0.1523279999999545,0.04535699999996723,0.11237800000003517,0.027982000000065455,,0.01333800000000096,0.04144200000000353,0.19160199999998895,0.4074029999999311,0.175228000000061,1.2518350000000282,,0.014956999999998999,0.025351000000000568,0.10008000000004813,0.07935999999995147,0.2330339999998614,0.24421799999981886,
26,0.002286999999999928,0.13914799999999872,0.020421999999996387,0.05546399999991536,0.3321610000000419,0.3141529999998056,,0.006696999999999065,0.01414199999999255,0.2210139999999683,0.7190969999999197,0.08544400000027963,1.3049409999998716,,0.0011070000000010793,0.018163999999984526,0.031035999999971864,0.03687099999979182,0.3836919999998827,0.7109569999997802,
27,0.0069789999999999575,0.06282900000000069,0.2478479999999763,0.04333400000007259,0.052073000000063985,0.10577699999976176,,0.013354999999998896,0.007176999999998657,0.31019400000002406,1.4781469999999217,0.3056040000001303,0.1965860000000248,,0.037602999999997166,0.16191200000000094,0.13309800000001815,0.06077499999992142,0.11512300000003961,0.4157470000000103,
28,0.007564000000000015,0.031365000000000975,0.48996700000003557,0.13274300000000494,0.06802000000016051,0.7542320000002292,,0.015029000000000181,0.06217399999999884,0.7460199999999872,0.5478719999999839,0.09039000000029773,1.1319570000000567,,0.013062999999998937,0.15260299999999916,0.05602199999998447,0.8510690000000523,0.03570799999988594,0.29189099999985046,
29,0.004402000000000017,0.0711690000000047,0.1088179999999852,0.12771199999997407,0.01602099999990969,0.10762100000010832,,0.016659999999999897,0.007116000000010558,0.14385700000002544,0.6920649999999569,0.5476720000001478,0.13912100000015926,,0.004972999999999672,0.07236199999999826,0.1497150000000147,0.4535209999999097,0.03774999999995998,0.08079300000008516,
30,0.010901999999999967,0.033364000000005944,0.1845079999999939,0.6362609999999904,0.42475000000013097,0.720546000000013,,0.011699000000000126,0.02764100000000269,0.12975000000000136,0.018586000000141212,0.5191829999998845,1.2558140000001004,,0.0033509999999985496,0.0656319999999937,0.10083699999995588,0.3776339999999436,1.1859989999998106,0.13069699999959994,
31,0.0025810000000000555,0.01221400000000017,0.08970899999997073,0.1373310000000174,0.018219000000044616,0.9299040000000787,,0.008360999999998953,0.048639000000008537,0.03964200000001483,1.2976289999999153,0.2578819999998814,1.1192510000000766,,0.014613000000000653,0.028040000000004284,0.04681400000004032,0.0857659999999214,0.5260189999999056,0.07657400000016423,
32,0.008855000000000057,0.024858000000001823,0.14262999999999693,0.327150999999958,0.11237299999993411,0.3419010000002345,,0.0050480000000003855,0.007356999999998948,0.25509599999998045,0.2752649999999903,1.026122000000214,0.5930950000001758,,0.008478999999997683,0.03863499999999931,0.22560699999996814,0.010307000000011612,0.35595499999999447,1.2057850000001054,
